booking_id,carrier_code,vehicle,vehicle_capacity,total_amount,total_package,total_weight (tons),total_cbm,total_load_proportion_rate,transport_utilization_rate,num_of_pickup_point,pickup_points,last_pickup_point,num_of_destination_point,store_code,total_loading_time (days),pickup_time (days),delivery_time (days),delivery_month
19-TP-AA-04072024-161797,D,51C-558.65,5,285908439,450,5.438706,13.727868,100,100,1,B,B,1,E,0.04305555556,0.02986111111,0.7583333333,Aug-2024
02-TP-AA-04072024-161714,E,51D-157.63,2.3,128578776,220,1.7358075,7.0362705,100,100,2,CA,A,1,E,0.02222222222,0.02638888889,0.6597222222,Aug-2024
60-TP-AA-04082024-168843,C,51C-853.76,16,535275000,890,12.967269,27.7304265,100,100,3,ACB,B,1,F,0.02708333333,0.07013888889,0.2618055556,Aug-2024
26-TI-AA-04082024-168832,B,51D-614.65,16,547847922,1010,15.737106,27.844551,100,100,1,C,C,1,D,0.05902777777,0.04236111111,0.9458333333,Sep-2024
26-TI-AA-04082024-168833,B,51D-611.48,16,524546520,1090,15.068781,36.2738355,100,100,2,BA,A,1,D,0.09166666667,0.1048611111,1.803472222,Sep-2024
19-TP-AA-04082024-168736,D,51D-342.45,2.2,32728310,140,0.88053,1.8426765,100,100,1,B,B,1,E,0.01805555556,0.004166666666,0.8354166667,Sep-2024
02-TP-AA-04082024-168850,E,51C-919.76,5,143699509,360,5.116797,10.851204,100,100,1,C,C,1,E,0.01736111111,0.01111111111,0.6111111111,Oct-2024
02-TP-AA-04082024-168849,E,51C-302.42,5,193942433,410,6.180615,12.0148245,100,100,1,C,C,1,E,0.03055555555,0.02152777778,0.5666666667,Oct-2024
60-TP-AA-04092024-176524,C,61E-034.09,9,327924510,620,7.92414,21.546903,100,100,1,B,B,1,F,0.009027777778,0.006944444445,0.7368055556,Oct-2024
26-TI-AA-04092024-176499,B,51D-614.65,16,751300832,1750,15.24537,36.616734,100,100,1,C,C,1,D,0.1131944444,0.03680555555,2.245138889,Oct-2024
26-TI-AA-04092024-176500,B,51D-610.50,16,687356214,1320,11.5822035,36.9410895,100,100,3,BAC,C,1,D,0.09861111111,0.1972222222,2.061111111,Oct-2024
19-TP-AA-04092024-176538,D,51C-558.65,5,211236070,410,5.200944,11.6270595,100,100,1,B,B,1,E,0.05416666666,0.01111111112,0.9256944444,Oct-2024
19-TP-AA-04092024-176537,D,61P-0114,5,271669871,490,5.182653,12.013449,100,100,1,B,B,1,E,0.02222222222,0.02083333334,0.7618055556,Oct-2024
02-TP-AA-04092024-176540,E,51C-919.76,5,175237775,510,4.77666,11.458209,100,100,2,AC,C,1,E,0.04236111111,0.05833333333,0.7027777778,Oct-2024
02-TP-AA-04092024-176539,E,50H-206.50,5,295030538,620,5.9857665,14.825496,100,100,1,C,C,1,E,0.03194444444,0.02986111111,0.6729166667,Oct-2024
60-TP-AA-04102024-183342,C,50LD-194.99,9,256572012,580,7.077063,16.3522905,100,83,3,ACB,B,1,F,0.03541666667,0.07916666666,0.2020833333,Oct-2024
TTPP-AA-05102024-183432,A,51C-053.21,1.4,36277264,180,1.731765,2.5039035,100,100,1,C,C,1,F,0.01597222222,0.0006944444467,0.06388888889,Oct-2024
26-TI-AA-04102024-183331,B,51D-626.81,16,650939870,1900,11.652333,37.225188,100,100,3,CAB,B,1,D,0.08611111111,0.1604166667,1.764583333,Oct-2024
19-TP-BB-04102024-183210,D,51D-342.45,2.2,108245536,180,2.370795,6.5406285,100,100,1,B,B,1,E,0.01458333333,0.006250000006,0.8465277778,Oct-2024
19-TP-AA-04102024-183348,D,51C-691.01,5,183388720,380,6.293826,13.3722015,100,100,1,B,B,1,E,0.04236111111,0.009722222225,0.7888888889,Nov-2024
02-TP-AA-04102024-183303,E,51D-157.63,2.3,99767058,320,2.4612,4.1718915,100,100,1,C,C,1,E,0.02152777778,0.003472222226,0.6125,Nov-2024
02-TP-AA-04102024-183346,E,51C-538.27,5,73936310,520,4.80501,8.416296,100,100,1,C,C,1,E,0.02013888889,0.007638888892,0.5902777778,Jun-2024
02-TP-AA-04102024-183347,E,51C-302.42,5,257227437,530,5.215014,13.3940205,100,100,1,C,C,1,E,0.02083333333,0.00277777778,0.5534722222,Jun-2024
60-TP-AA-04112024-190241,C,61C-282.28,16,619614308,1080,11.769618,24.5224245,100,100,1,C,C,1,F,0.02013888889,0.01944444444,0.2263888889,Jun-2024
60-TP-AA-04112024-190242,C,51C-853.76,16,338490532,1010,7.9725135,24.449607,100,100,2,AC,C,1,F,0.02013888888,0.04305555556,0.2298611111,Jun-2024
60-TP-AA-04112024-190243,C,61C-282.28,16,487241797,870,10.1411625,26.4546975,100,100,1,B,B,1,F,0.02083333334,0.02569444444,0.1069444444,Jul-2024
26-TI-AA-04112024-190224,B,50H-304.18,16,531433544,1090,14.296254,33.2000445,100,100,1,B,B,1,D,0.09722222222,0.01041666667,1.848611111,Jul-2024
26-TI-AA-04112024-190225,B,50H-606.37,16,782241939,1600,13.1643225,41.447742,100,100,2,CA,A,1,D,0.1145833333,0.14375,1.744444444,Jul-2024
19-TP-AA-04112024-190253,D,51C-691.01,5,240571473,420,4.836825,12.7618575,100,100,1,B,B,1,E,0.04930555556,0.03333333333,0.9506944444,Jul-2024
19-TP-AA-04112024-190254,D,61E-005.02,5,239656850,440,5.59272,16.535883,100,100,1,B,B,1,E,0.03402777778,0.02916666666,0.9208333333,Jul-2024
02-TP-AA-04112024-190183,E,50H-255.25,2.3,33031937,300,1.984185,4.5401685,100,100,1,C,C,1,E,0.02152777778,0.01319444444,0.7756944444,Jul-2024
02-TP-AA-04112024-190182,E,51D-339.81,2.3,89736802,180,2.61198,5.501055,100,100,2,AC,C,1,E,0.01597222222,0.05486111111,0.7409722222,Jul-2024
02-TP-AA-04112024-190256,E,51C-919.76,5,230469638,530,5.54946,13.412049,100,100,1,C,C,1,E,0.0375,0.03055555556,0.7361111111,Jul-2024
02-TP-AA-04112024-190185,E,51D-157.63,2.3,78398069,150,2.18442,4.5178245,100,100,1,C,C,1,E,0.02916666666,0.009722222225,0.70625,Jul-2024
02-TP-AA-04112024-190255,E,51C-538.27,5,151223411,480,5.10132,11.7315975,100,100,1,C,C,1,E,0.03819444445,0.02569444445,0.7048611111,Aug-2024
02-TP-AA-04112024-190186,E,51D-340.46,2,112845951,190,2.34402,4.51815,100,100,1,C,C,1,E,0.01736111112,0.004861111105,0.7048611111,Aug-2024
02-TP-AA-04112024-190184,E,51D-336.62,2.3,55551673,260,2.859885,5.0526,100,100,1,C,C,1,E,0.02916666667,0.01041666666,0.7027777778,Aug-2024
60-TP-AA-05062024-154015,C,50LD-165.85,9,230030437,710,6.86826,17.315424,100,100,1,C,C,1,F,0.01597222222,0.02986111111,0.9298611111,Aug-2024
60-TP-AA-05062024-154016,C,61C-282.28,16,518227825,930,10.7167095,27.7119885,100,100,1,B,B,1,F,0.01666666666,0.09166666667,0.9493055556,Aug-2024
26-TI-AA-05062024-153992,B,51D-611.48,16,592896344,1370,14.101164,32.2942095,100,100,2,AC,C,1,D,0.08402777778,0.09930555556,1.671527778,Aug-2024
26-TI-AA-05062024-153993,B,51D-627.06,16,524190017,870,9.4139115,24.35307,60,100,1,B,B,1,D,0.1263888889,0.02986111111,1.640972222,Aug-2024
19-TP-BB-05062024-153904,D,51D-343.96,2.2,84620559,180,1.617525,3.77286,100,100,1,B,B,1,E,0.01736111111,0.01180555556,0.6958333333,Aug-2024
19-TP-AA-05062024-154027,D,51C-691.01,5,204268530,470,5.2413375,10.687614,100,100,1,B,B,1,E,0.02291666667,0.009722222218,0.6506944444,Aug-2024
19-TP-AA-05062024-154028,D,51C-558.65,5,224440206,440,4.804422,22.0205265,100,100,1,B,B,1,E,0.04375,0.02847222222,0.5576388889,Sep-2024
60-TP-AA-05072024-162136,C,51D-473.93,9,368514666,750,9.237606,18.1630995,100,100,2,CB,B,1,F,0.03680555556,0.06041666667,1.959722222,Sep-2024
26-TI-AA-05072024-162119,B,51D-614.79,16,566697961,1080,14.4766125,38.7704835,100,100,1,B,B,1,D,0.1291666667,0.01527777778,2.019444444,Sep-2024
02-TP-AA-05072024-162146,E,51C-538.27,5,272444995,490,4.298175,10.052238,100,100,1,C,C,1,E,0.04375,0.009027777778,0.6819444444,Sep-2024
02-TP-AA-06072024-162231,E,51C-302.42,5,124943271,250,6.528375,9.37713,100,100,1,C,C,1,E,0.03472222222,0.025,0.6555555556,Sep-2024
60-TP-AA-05082024-169054,C,51C-853.76,16,343189885,1280,9.437778,25.2374955,100,100,1,C,C,1,F,0.02916666667,0.006250000006,1.001388889,Sep-2024
60-TP-AA-05082024-169055,C,50LD-165.85,9,478609863,780,9.036951,25.1436885,100,100,2,AB,B,1,F,0.025,0.06180555555,0.9152777778,Sep-2024
26-TI-AA-05082024-169038,B,51D-610.55,16,653808185,1230,12.323577,33.9488415,100,100,2,BC,C,1,D,0.1715277778,0.05347222222,1.780555556,Sep-2024
26-TI-AA-06082024-169107,B,50H-265.62,16,449843936,590,5.071416,19.9927665,65,100,1,A,A,1,D,0.03125,0.06736111111,1.709722222,Sep-2024
19-TP-AA-05082024-168930,D,51D-342.45,2.2,122525913,210,2.29341,6.152769,100,100,1,B,B,1,E,0.01319444445,0.0125,0.7875,Sep-2024
19-TP-AA-05082024-168931,D,51D-343.96,2.2,87011812,180,2.20101,5.911059,100,100,1,B,B,1,E,0.01875,0.007638888892,0.7784722222,Oct-2024
02-TP-AA-05082024-169003,E,51C-720.66,2.3,13609437,180,2.29488,4.4255295,100,100,1,C,C,1,E,0.01805555556,0.0006944444467,0.7722222222,Oct-2024
02-TP-AA-05082024-169004,E,50H-245.07,2.3,96166819,230,2.77305,4.08555,100,100,1,C,C,1,E,0.01736111111,0.0125,0.7583333333,Oct-2024
02-TP-AA-05082024-169001,E,51D-339.81,2.3,97401441,230,1.266237,7.279377,100,100,1,A,A,1,E,0.01041666667,0.02430555555,0.7291666667,Oct-2024
02-TP-AA-05082024-169071,E,51C-919.76,5,294720687,520,5.655174,12.013932,100,100,1,C,C,1,E,0.03611111111,0.006944444445,0.725,Oct-2024
02-TP-AA-05082024-169002,E,51D-336.62,2.3,62104190,330,1.098825,6.3122115,100,100,1,C,C,1,E,0.02847222223,0.02222222222,0.7104166667,Oct-2024
02-TP-AA-05082024-169006,E,51D-157.63,2.3,129440298,230,2.355045,6.0529665,100,100,1,C,C,1,E,0.01180555556,0.0125,0.6423611111,Oct-2024
02-TP-AA-05082024-169005,E,50H-231.72,2.3,107595134,320,2.0738025,8.0606925,100,100,1,C,C,1,E,0.02013888889,0.02083333333,0.6215277778,Oct-2024
60-TP-AA-05092024-176685,C,51D-174.22,9,471697662,980,7.855113,20.1228405,100,100,1,B,B,1,F,0.02013888889,0.01180555555,0.1625,Oct-2024
19-TP-AA-05092024-176699,D,61E-005.02,5,299593179,430,3.658095,17.21706,100,100,1,B,B,1,E,0.06666666667,0.002083333333,0.90625,Oct-2024
02-TP-AA-05092024-176700,E,50H-206.50,5,207337437,400,2.891826,15.2300715,100,100,1,A,A,1,E,0.01736111111,0.03263888889,0.7513888889,Oct-2024
02-TP-AA-05092024-176743,E,51D-336.62,2.3,22073577,180,1.022175,3.906903,100,100,1,C,C,1,E,0.01736111111,0.009027777778,0.6708333333,Oct-2024
02-TP-AA-05102024-183456,E,51D-157.63,2.3,240001696,240,2.1508935,7.419048,100,100,2,AC,C,1,E,0.01944444444,0.04930555556,0.7048611111,Nov-2024
60-TP-AA-05112024-190505,C,50LD-165.85,9,383271826,820,6.9730815,18.2235795,100,100,1,C,C,1,F,0.01736111111,0.03263888889,0.31875,Nov-2024
60-TP-AA-05112024-190506,C,51D-473.93,9,235275988,720,6.546876,19.974192,100,100,2,CB,B,1,F,0.03402777778,0.07638888888,0.1305555556,Nov-2024
02-TP-AA-05112024-190484,E,51D-157.63,2.3,29330507,110,1.99185,2.646861,100,100,1,C,C,1,E,0.008333333331,0.0125,0.6888888889,Nov-2024
60-TP-AA-06062024-154291,C,50LD-194.99,9,203361481,520,4.2311115,14.1524985,100,83,2,CB,B,1,F,0.03402777777,0.04722222222,0.9395833333,Nov-2024
02-TP-AA-06062024-154249,E,51D-157.63,2.3,85806543,340,1.413069,8.3458095,100,100,2,CA,A,1,E,0.02916666666,0.04027777778,0.6388888889,Nov-2024
02-TP-AA-06072024-162257,E,51D-157.63,2.3,93406268,250,1.311534,6.956754,100,100,2,AC,C,1,E,0.02638888889,0.02430555555,0.7708333333,Nov-2024
02-TP-AA-07072024-162376,E,51C-302.42,5,169887577,420,5.255019,10.006101,100,100,1,C,C,1,E,0.02291666667,0.02916666667,0.7076388889,Nov-2024
60-TP-AA-06082024-169306,C,51D-174.22,9,421750281,740,8.7919335,21.275835,100,100,1,B,B,1,F,0,0.04097222222,0.2888888889,Nov-2024
19-TP-BB-07082024-169350,D,51D-343.96,2.2,59061777,120,1.5230355,6.3595665,100,100,1,B,B,1,E,0.02013888889,0.007638888885,0.6965277778,Nov-2024
02-TP-AA-07082024-169337,E,51D-157.63,2.3,210264889,270,2.401455,8.2588275,100,100,1,C,C,1,E,0.02638888889,0.04166666667,0.5090277778,Nov-2024
60-TP-AA-06092024-176979,C,51D-473.93,9,424796397,760,6.4254015,21.765639,100,100,3,ACB,B,1,F,0.04583333333,0.09652777778,0.1402777778,Nov-2024
